CompanyCode,Issuer,🌐,Formed,Issue,Shares,Stake,Holding date
00329,Colour State Limited (orgdata.asp?p=2325793),VG,2014-09-02,Ordinary shares, ,2014-09-26,2014-09-26
00329,Dragonite Resources Limited (orgdata.asp?p=152485),VG,2010-06-23,Ordinary shares, ,2016-11-07,2016-11-07
00329,EXCEL JOINER LIMITED (orgdata.asp?p=2224004),HK,2014-03-14,Ordinary shares, ,2014-12-31,2014-12-31
00329,Imagine Sky Limited (orgdata.asp?p=2338586),VG,,Ordinary shares, ,2014-10-24,2014-10-24
00329,King Delight Holdings Limited (orgdata.asp?p=2437976),,,Ordinary shares, ,2014-01-09,2014-01-09
00329,Nation Wealth Holdings Limited (orgdata.asp?p=2289881),VG,,Ordinary shares, ,2014-01-21,2014-01-21
00329,OCI Administrative Services Limited (orgdata.asp?p=2184318),HK,2013-12-23,Ordinary shares, ,2014-12-31,2014-12-31
00329,OCI Asset Management Company Limited (orgdata.asp?p=2707019),HK,2017-03-07,Ordinary shares, ,2018-05-10,2018-05-10
00329,Silvermoon Developments Limited (orgdata.asp?p=2631135),VG,2015-11-12,Ordinary shares, ,2015-11-24,2015-11-24
00329,Smart State Developments Limited (orgdata.asp?p=2320600),VG,,Ordinary shares, ,2015-12-31,2015-12-31
00329,TYEE-OCI Capital (Cayman) Limited (orgdata.asp?p=12655144),KY,,Ordinary shares, ,2017-12-21,2017-12-21
00356,GOOD QUALITY INVESTMENT LIMITED (orgdata.asp?p=2337822),HK,2014-10-28,Ordinary shares, ,2014-12-31,2014-12-31
00372,ITC Investment Holdings Limited (orgdata.asp?p=2449329),VG,,Ordinary shares, ,2013-03-31,2013-03-31
00378,e2-Capital Venture Limited (orgdata.asp?p=2470950),KY,,Ordinary shares, ,2004-12-31,2004-12-31
00378,SBI E2-Capital Asia Holdings Pte. Ltd. (orgdata.asp?p=41140),SG,2004-09,Ordinary shares, ,2006-12-31,2006-12-31
00428,CHIEF FINANCE LIMITED (orgdata.asp?p=20858),HK,2000-08-09,Ordinary shares, ,2007-12-31,2007-12-31
00428,Eclipse Investment Holdings Limited (orgdata.asp?p=46420),VG,,Ordinary shares, ,2007-12-31,2007-12-31
00428,Fullpower Holdings Limited (orgdata.asp?p=20863),VG,,Ordinary shares, ,2007-12-31,2007-12-31
00428,LASTMINUTE HOLDINGS LIMITED (orgdata.asp?p=46419),HK,1999-09-17,Ordinary shares, ,2007-12-31,2007-12-31
00430,Call Rich Investments Limited (orgdata.asp?p=6594),VG,,Ordinary shares, ,2012-12-31,2012-12-31
00430,Head Wonder International Limited (orgdata.asp?p=6596),VG,,Ordinary shares, ,2012-12-31,2012-12-31
00430,KEEN2LEARN.COM INTERNATIONAL LIMITED (orgdata.asp?p=858822),HK,2000-03-29,Ordinary shares, ,2012-12-31,2012-12-31
00430,LINKFUL (HOLDINGS) LIMITED (orgdata.asp?p=440103),HK,1990-10-12,Ordinary shares, ,2012-12-31,2012-12-31
00430,LINKFUL (PRC) INVESTMENTS LIMITED (orgdata.asp?p=527767),HK,1992-09-01,Ordinary shares, ,2012-12-31,2012-12-31
00430,LINKFUL MANAGEMENT SERVICES LIMITED (orgdata.asp?p=698767),HK,1996-05-16,Ordinary shares, ,2012-12-31,2012-12-31
00430,LINKFUL PROPERTIES COMPANY LIMITED (orgdata.asp?p=547873),HK,1993-01-05,Ordinary shares, ,2012-12-31,2012-12-31
00430,LINKFUL SECRETARIAL SERVICES LIMITED (orgdata.asp?p=386218),HK,1988-12-02,Ordinary shares, ,2012-12-31,2012-12-31
00430,POWER EARNING LIMITED (orgdata.asp?p=1641228),HK,2010-08-18,Ordinary shares, ,2012-12-31,2012-12-31
00430,Rich Returns Limited (orgdata.asp?p=2169778),VG,,Ordinary shares, ,2012-12-31,2012-12-31
00572,BRIGHT ORIENTAL WORLDWIDE LIMITED (orgdata.asp?p=2341521),HK,2014-11-05,Ordinary shares, ,2015-12-31,2015-12-31
00572,Central Mark Group Limited (orgdata.asp?p=2576244),VG,,Ordinary shares, ,2015-12-31,2015-12-31
00572,EVER GOOD INDUSTRIES (INTERNATIONAL) LIMITED (orgdata.asp?p=2027860),HK,2013-03-05,Ordinary shares, ,2015-12-31,2015-12-31
00572,GLOBALLY FINANCE LIMITED (orgdata.asp?p=2139364),HK,2013-10-02,Ordinary shares, ,2018-07-16,2018-07-16
00572,GOLDEN HORSE HONG KONG INVESTMENT LIMITED (orgdata.asp?p=2173592),HK,2013-12-03,Ordinary shares, ,2018-06-30,2018-06-30
00572,GREAT RICH TRADING LIMITED (orgdata.asp?p=1946623),HK,2012-08-30,Ordinary shares, ,2015-12-31,2015-12-31
00572,Innovation Times Limited (orgdata.asp?p=2576243),VG,,Ordinary shares, ,2015-12-31,2015-12-31
00572,Sky Faith International Investment Limited (orgdata.asp?p=2326050),HK,2014-09-29,Ordinary shares, ,2015-12-31,2015-12-31
00572,Skypark Developments Limited (orgdata.asp?p=2576149),VG,,Ordinary shares, ,2016-02-02,2016-02-02
00572,SMART PROSPER ENTERPRISES (INTERNATIONAL) LIMITED (orgdata.asp?p=2031045),HK,2013-03-11,Ordinary shares, ,2015-12-31,2015-12-31
00572,Wise Victory Group Limited (VG) (orgdata.asp?p=12679804),VG,,Ordinary shares, ,2017-12-29,2017-12-29
00612,Eternity Sky Limited (orgdata.asp?p=1900553),VG,,Ordinary shares, ,2012-12-31,2012-12-31
00612,Flying Goddess Limited (orgdata.asp?p=2349799),VG,,Ordinary shares, ,2014-11-19,2014-11-19
00613,Yugang International (BVI) Limited (orgdata.asp?p=2438128),VG,,Ordinary shares, ,2013-03-31,2013-03-31
00666,China Power Investment Limited (VG) (orgdata.asp?p=6295),VG,,Ordinary shares, ,1998-06-29,1998-06-29
00666,HONNEX DEVELOPMENT LIMITED (orgdata.asp?p=8903),HK,1997-01-10,Ordinary shares, ,1998-12-31,1998-12-31
00666,NEW VIKING LIMITED (orgdata.asp?p=8904),HK,1997-11-26,Ordinary shares, ,1998-12-31,1998-12-31
00666,OCEAN GLORIOUS LIMITED (orgdata.asp?p=8905),HK,1997-01-10,Ordinary shares, ,1998-12-31,1998-12-31
00718,Tai Infinite Holdings Group Limited (orgdata.asp?p=12459365),KY,2016-02-04,Ordinary shares, ,2017-03-24,2017-03-24
00721,Best Joy Asia Investment Limited (orgdata.asp?p=1850420),VG,,Ordinary shares, ,2011-06-30,2011-06-30
00721,CHINA FINANCIAL INTERNATIONAL INVESTMENTS & MANAGEMENTS LIMITED (orgdata.asp?p=65702),HK,2010-02-23,Ordinary shares, ,2012-12-31,2012-12-31
00721,Global Business Investment Enterprised Limited (orgdata.asp?p=1850419),VG,,Ordinary shares, ,2011-06-30,2011-06-30
00721,Global Business Investment Enterprises Limited (orgdata.asp?p=2481513),VG,,Ordinary shares, ,2012-12-31,2012-12-31
00721,JOY STATE HOLDINGS LIMITED (orgdata.asp?p=1327605),HK,2007-10-31,Ordinary shares, ,2011-06-30,2011-06-30
00768,CAPITAL VENTURE LIMITED (HK) (orgdata.asp?p=20857),HK,1996-12-03,Ordinary shares, ,2008-03-31,2008-03-31
00768,CHIEF FINANCE LIMITED (orgdata.asp?p=20858),HK,2000-08-09,Ordinary shares,"2,600,000",2008-03-31,2008-03-31
00768,Cyber Infotech Holdings Limited (orgdata.asp?p=20859),VG,,Ordinary shares, ,2003-03-31,2003-03-31
00768,EFINANCE28 LIMITED (orgdata.asp?p=20860),HK,2000-08-09,Ordinary shares,"1,000,000",2003-03-31,2003-03-31
00768,ENVIRO TECHNOLOGY INTERNATIONAL LIMITED (orgdata.asp?p=20861),HK,1999-12-15,Ordinary shares, ,2003-03-31,2003-03-31
00768,FUJITA GLASS LIMITED (orgdata.asp?p=20862),HK,1999-01-13,Ordinary shares, ,2003-03-31,2003-03-31
00768,Fullpower Holdings Limited (orgdata.asp?p=20863),VG,,Ordinary shares,"1,000,000",2007-12-31,2007-12-31
00768,ID INNOVATION LIMITED (orgdata.asp?p=20864),HK,1998-11-13,Ordinary shares, ,2003-03-31,2003-03-31
00768,Info Trade Investment Limited (orgdata.asp?p=20865),VG,,Ordinary shares, ,2003-03-31,2003-03-31
00806,VALUE PARTNERS HONG KONG LIMITED (orgdata.asp?p=74618),HK,1999-05-10,Ordinary shares, ,2012-12-31,2012-12-31
00810,Korning Investments Limited (orgdata.asp?p=17312),VG,,Ordinary shares, ,2002-12-31,2002-12-31
00810,Modern Vocal Limited (orgdata.asp?p=17313),VG,,Ordinary shares, ,2002-12-31,2002-12-31
00851,MEI AH PLASTIC MOULDS COMPANY LIMITED (orgdata.asp?p=7349),HK,1996-08-06,Ordinary shares, ,1998-12-02,1998-12-02
00851,SHENG YUAN SECURITIES LIMITED (orgdata.asp?p=66404),HK,2010-07-07,Ordinary shares, ,2011-02-25,2011-02-25
00851,Star Technology Incorporated (orgdata.asp?p=2551096),VG,,Ordinary shares, ,2003-09-30,2003-09-30
00851,SUNSTAR TECHNOLOGY LIMITED (orgdata.asp?p=11245),HK,1999-08-20,Ordinary shares, ,1999-12-02,1999-12-02
00901,Winning Point Limited (orgdata.asp?p=52148),VG,,Ordinary shares, ,2004-07-09,2004-07-09
00905,MEGA WAY INTERNATIONAL LIMITED (orgdata.asp?p=1141204),HK,2005-09-02,Ordinary shares, ,2012-12-31,2012-12-31
00913,Anchor Talent Limited (orgdata.asp?p=2289873),VG,,Ordinary shares, ,2015-12-31,2015-12-31
00913,Gufalore Investments Limited (orgdata.asp?p=1970922),VG,,Ordinary shares, ,2017-12-31,2017-12-31
00913,Moving Target Company Limited (orgdata.asp?p=2638308),VG,,Ordinary shares, ,2005-12-31,2005-12-31
00913,Pacific Kingdom International Limited (VG) (orgdata.asp?p=2638309),VG,,Ordinary shares, ,2006-12-31,2006-12-31
00913,Peak Zone Group Limited (orgdata.asp?p=2478842),VG,,Ordinary shares, ,2015-12-31,2015-12-31
00913,RUNWAY GROUP LIMITED (orgdata.asp?p=149828),VG,,Ordinary shares, ,2006-12-31,2006-12-31
00913,Sincere Smart International Limited (orgdata.asp?p=2478708),VG,,Ordinary shares, ,2014-12-31,2014-12-31
00913,Starfame Investments Limited (orgdata.asp?p=2369151),VG,,Ordinary shares, ,2014-06-30,2014-06-30
00913,Vision Gate Enterprises Limited (orgdata.asp?p=2567785),VG,,Ordinary shares, ,2006-12-31,2006-12-31
01051,Bevan Global Investments Limited (orgdata.asp?p=2542953),VG,,Ordinary shares, ,2015-08-11,2015-08-11
01051,Conolan Limited (orgdata.asp?p=20869),VG,,Ordinary shares, ,2003-06-30,2003-06-30
01051,Empire Glaze Limited (orgdata.asp?p=23254743),VG,,Ordinary shares, ,2018-07-20,2018-07-20
01051,G-Financial Services Group Ltd. (orgdata.asp?p=15262586),KY,,Ordinary shares, ,2017-12-31,2017-12-31
01051,GLOBAL ACCESS DEVELOPMENT LIMITED (orgdata.asp?p=2358420),HK,2014-12-12,Ordinary shares, ,2015-08-18,2015-08-18
01051,Ming Yuen Assets Limited (orgdata.asp?p=20870),VG,,Ordinary shares, ,2003-06-30,2003-06-30
01051,Top Gala Development Limited (orgdata.asp?p=2542951),VG,,Ordinary shares, ,2016-02-18,2016-02-18
01140,CSOP Asset Management Limited (orgdata.asp?p=73558),HK,2008-01-31,Ordinary shares,"60,800,000",2015-03-31,2015-03-31
01140,Glimmer Stone Investments Limited (orgdata.asp?p=49198),VG,,Ordinary shares, ,2008-06-03,2008-06-03
01140,Profit Raider Investments Limited (orgdata.asp?p=2697760),VG,,Ordinary shares, ,2012-12-31,2012-12-31
01191,BESTCO WORLDWIDE INVESTMENT LIMITED (orgdata.asp?p=150192),VG,,Ordinary shares, ,2012-08-22,2012-08-22
01226,Baiye Global Limited (orgdata.asp?p=2408362),VG,,Ordinary shares, ,2015-03-31,2015-03-31
01226,Baiye Holding Limited (orgdata.asp?p=2408364),VG,,Ordinary shares, ,2015-03-31,2015-03-31
01226,Baiye Holdings Limited (orgdata.asp?p=8424438),VG,,Ordinary shares, ,2016-10-14,2016-10-14
01226,Champion Elite Holdings Limited (orgdata.asp?p=2408361),VG,,Ordinary shares, ,2014-03-31,2014-03-31
01226,CHINA INVESTMENT AND FINANCING LIMITED (orgdata.asp?p=1781479),HK,2011-07-18,Ordinary shares, ,2014-03-31,2014-03-31
01226,EAGLE GAIN INVESTMENTS LIMITED (orgdata.asp?p=1724746),HK,2011-03-24,Ordinary shares, ,2014-03-31,2014-03-31
01226,FOREST INVESTMENT COMPANY LIMITED (orgdata.asp?p=628243),HK,1994-05-12,Ordinary shares, ,2014-03-31,2014-03-31
01226,GARRON INTERNATIONAL STRATEGIC LIMITED (orgdata.asp?p=1704484),HK,2011-01-31,Ordinary shares, ,2014-03-31,2014-03-31
01226,GREAT PROSPECT INVESTMENT DEVELOPMENT LIMITED (orgdata.asp?p=1826319),HK,2011-11-12,Ordinary shares, ,2014-03-31,2014-03-31
01226,HELP U CREDIT FINANCE LIMITED (orgdata.asp?p=1512800),HK,2009-08-25,Ordinary shares, ,2016-03-31,2016-03-31
01226,NEW EXPRESS INVESTMENT LIMITED (orgdata.asp?p=2167731),HK,2013-11-22,Ordinary shares, ,2015-04-22,2015-04-22
01226,Novel Epoch Investments Limited (orgdata.asp?p=2408365),VG,,Ordinary shares, ,2014-03-31,2014-03-31
01226,Peak Zone Group Limited (orgdata.asp?p=2478842),VG,,Ordinary shares, ,2016-03-31,2016-03-31
01226,PLEXSON LIMITED (orgdata.asp?p=909741),HK,2001-06-26,Ordinary shares, ,2014-03-31,2014-03-31
01226,Profit Eternal Global Investments Limited (orgdata.asp?p=2408360),VG,,Ordinary shares, ,2014-03-31,2014-03-31
01226,Qifeng Holdings Limited (VG) (orgdata.asp?p=2408363),VG,,Ordinary shares, ,2014-03-31,2014-03-31
01226,RICH FORTUNE INVESTMENT LIMITED (orgdata.asp?p=1826310),HK,2011-11-12,Ordinary shares, ,2014-03-31,2014-03-31
01226,WINKI LIMITED (orgdata.asp?p=1747712),HK,2011-05-17,Ordinary shares, ,2014-03-31,2014-03-31
01226,WORLD FAME INVESTMENT LIMITED (orgdata.asp?p=1778104),HK,2011-07-13,Ordinary shares, ,2014-03-31,2014-03-31
01227,Chance Luck Holdings Limited (orgdata.asp?p=2437969),VG,,Ordinary shares, ,2014-12-31,2014-12-31
01227,Co-Lead Holdings Limited (orgdata.asp?p=2280644),VG,2014-01,Ordinary shares,41,2016-06-20,2016-06-20
01227,Delight Hope Investments Limited (VG) (orgdata.asp?p=2437971),VG,,Ordinary shares, ,2014-12-31,2014-12-31
01227,Eighty Riches Limited (orgdata.asp?p=2638307),,,Ordinary shares, ,2016-06-30,2016-06-30
01227,Essence Sharp Holdings Limited (orgdata.asp?p=2437963),VG,,Ordinary shares, ,2014-12-31,2014-12-31
01227,FreeOpt Holdings Limited (orgdata.asp?p=2520287),MH,2015-12-23,Ordinary shares,"160,000",2016-03-31,2016-03-31
01227,Freewill Holdings Limited (MH) (orgdata.asp?p=2284096),MH,2014-06-16,Ordinary shares,"3,100,000",2016-06-30,2016-06-30
01227,Gold Full Corporate Development Limited (orgdata.asp?p=2049332),VG,,Ordinary shares, ,2014-12-31,2014-12-31
01227,Gold Intelligent Investment Development Limited (orgdata.asp?p=2437966),VG,,Ordinary shares, ,2014-12-31,2014-12-31
01227,Hong Kong National Investments Fund Limited (orgdata.asp?p=2258321),HK,2014-04-14,Ordinary shares, ,2016-12-31,2016-12-31
01227,Luxwealth Development Limited (orgdata.asp?p=2437962),VG,2014-07-02,Ordinary shares, ,2014-12-31,2014-12-31
01227,Massive Shine Limited (VG) (orgdata.asp?p=2437964),VG,,Ordinary shares, ,2014-12-31,2014-12-31
01227,OBOR INVESTMENT FUND LIMITED (orgdata.asp?p=2409716),HK,2015-04-21,Ordinary shares, ,2016-12-31,2016-12-31
01227,Shine Full Capital Limited (orgdata.asp?p=2289877),VG,,Ordinary shares, ,2013-12-31,2013-12-31
01227,Top Flame Investments Limited (orgdata.asp?p=2289876),VG,,Ordinary shares, ,2013-12-31,2013-12-31
01227,Top Onward Development Limited (orgdata.asp?p=2437970),VG,,Ordinary shares, ,2014-12-31,2014-12-31
01227,Up Wonderful Limited (orgdata.asp?p=2350432),VG,,Ordinary shares, ,2014-12-31,2014-12-31
01227,Vast Spirit Investment Holding Limited (orgdata.asp?p=2437967),VG,,Ordinary shares, ,2014-12-31,2014-12-31
01227,Victory Eternal Limited (orgdata.asp?p=2437968),VG,,Ordinary shares, ,2014-12-31,2014-12-31
01359,BITRONIC LIMITED (orgdata.asp?p=152319),VG,,Ordinary shares, ,2012-12-11,2012-12-11
01359,CHINA CINDA (HK) HOLDINGS COMPANY LIMITED (orgdata.asp?p=135049),HK,1998-12-16,Ordinary shares, ,2019-01-26,2019-01-26
01359,China Luoyang Float Glass (Group) Company Limited (orgdata.asp?p=2611107),CN,1993-04-19,Ordinary shares, ,2011-12-31,2011-12-31
01359,"CINDA FINANCIAL HOLDINGS CO., LIMITED (orgdata.asp?p=2460417)",HK,2015-08-11,Ordinary shares, ,2015-12-18,2015-12-18
01359,WELL KENT INTERNATIONAL HOLDINGS COMPANY LIMITED (orgdata.asp?p=41974),HK,1993-05-27,Ordinary shares, ,2012-12-31,2012-12-31
02277,Bojin International Limited (orgdata.asp?p=2362845),VG,2014-06-05,Ordinary shares, ,2014-12-15,2014-12-15
02277,Diamond Path Investments Limited (orgdata.asp?p=22235404),VG,,Ordinary shares, ,2019-01-24,2019-01-24
02277,Eternity Sail Limited (orgdata.asp?p=2362846),VG,2014-01-02,Ordinary shares, ,2014-12-15,2014-12-15
02277,Jumbo Riches Limited (orgdata.asp?p=22235692),VG,,Ordinary shares, ,2016-06-30,2016-06-30
02324,CNI BULLION LIMITED (orgdata.asp?p=67592),HK,2005-01-18,Ordinary shares, ,2011-06-30,2011-06-30
02324,CNI FINANCE LIMITED (orgdata.asp?p=1023968),HK,2003-12-19,Ordinary shares, ,2011-06-30,2011-06-30
02324,Connelly Investments Limited (VG) (orgdata.asp?p=23331),VG,,Ordinary shares, ,2003-06-30,2003-06-30
02324,Easy Ideas Limited (VG) (orgdata.asp?p=2369153),VG,,Ordinary shares, ,2014-06-30,2014-06-30
02324,Ethnocentric Investment Limited (orgdata.asp?p=2371373),VG,,Ordinary shares, ,2016-11-21,2016-11-21
02324,Extra One Investments Limited (orgdata.asp?p=2500674),VG,,Ordinary shares, ,2014-06-30,2014-06-30
02324,Golden Goal Enterprises Limited (VG) (orgdata.asp?p=2611561),VG,,Ordinary shares, ,2016-07-07,2016-07-07
02324,Quidam Assets Limited (orgdata.asp?p=1857541),VG,,Ordinary shares, ,2011-06-30,2011-06-30
02324,Sincere Smart International Limited (orgdata.asp?p=2478708),VG,,Ordinary shares, ,2014-12-31,2014-12-31
02324,Starfame Investments Limited (orgdata.asp?p=2369151),VG,,Ordinary shares, ,2014-06-30,2014-06-30
02324,UCCTV Holdings Limited (orgdata.asp?p=1857542),VG,,Ordinary shares, ,2011-06-30,2011-06-30
02324,WEALTH MANAGEMENT CENTRE LIMITED (orgdata.asp?p=23332),HK,1994-02-22,Ordinary shares, ,2003-06-30,2003-06-30
02799,China Luoyang Float Glass (Group) Company Limited (orgdata.asp?p=2611107),CN,1993-04-19,Ordinary shares, ,2011-12-31,2011-12-31
02799,"Huarong Real Estate Co., Ltd. (orgdata.asp?p=2503802)",CN,1994-05-26,Ordinary shares, ,2017-06-28,2017-06-28
02799,"Huarong Zhiyuan Investment & Management Co., Ltd. (orgdata.asp?p=2503804)",CN,2009-11-10,Ordinary shares, ,2017-07-05,2017-07-05
02799,Panda Electronics Group Limited (orgdata.asp?p=2531315),CN,,Ordinary shares, ,2011-12-31,2011-12-31
00056,AP Jade Limited (orgdata.asp?p=2076230),VG,,Ordinary shares, ,2012-12-31,2012-12-31
00056,Famestep Investments Limited (orgdata.asp?p=2508402),VG,,Ordinary shares, ,2012-12-31,2012-12-31
00056,Fine Class Holdings Limited (orgdata.asp?p=2584144),VG,,Ordinary shares, ,2012-12-31,2012-12-31
00056,Joy Club Enterprises Limited (orgdata.asp?p=1915276),VG,,Ordinary shares, ,2010-05-24,2010-05-24
00086,BALI SECURITIES CO. LIMITED (orgdata.asp?p=50700),HK,1990-11-09,Ordinary shares, ,2008-12-31,2008-12-31
00086,Boneast Assets Limited (orgdata.asp?p=1849171),VG,,Ordinary shares, ,2010-12-31,2010-12-31
00086,CHINA XIN YONGAN FUTURES COMPANY LIMITED (orgdata.asp?p=68638),HK,2006-08-09,Ordinary shares, ,2010-12-31,2010-12-31
00086,CHRONICLE GAIN LIMITED (orgdata.asp?p=242987),HK,1980-12-12,Ordinary shares, ,2010-12-31,2010-12-31
00086,Constable Development S.A. (orgdata.asp?p=1849173),PA,1985-06-03,Ordinary shares, ,2010-12-31,2010-12-31
00086,DRINKWATER INVESTMENT LIMITED (orgdata.asp?p=3683),HK,1981-07-24,Ordinary shares, ,2010-12-31,2010-12-31
00086,Dynamic Force Investments Limited (orgdata.asp?p=1849172),VG,,Ordinary shares, ,2010-12-31,2010-12-31
00086,FIRST ASIAN HOLDINGS LIMITED (orgdata.asp?p=1028223),HK,2004-01-21,Ordinary shares, ,2010-12-31,2010-12-31
00086,GLOXIN LIMITED (orgdata.asp?p=214767),HK,1978-07-18,Ordinary shares, ,2010-12-31,2010-12-31
00086,ITSO LIMITED (HK) (orgdata.asp?p=215589),HK,1978-08-18,Ordinary shares, ,2010-12-31,2010-12-31
00086,LEXSHAN NOMINEES LIMITED (orgdata.asp?p=215385),HK,1978-08-11,Ordinary shares, ,2010-12-31,2010-12-31
00086,LOOK'S HOLDING LIMITED (orgdata.asp?p=1849184),KY,,Ordinary shares, ,2010-12-31,2010-12-31
00086,MACDONNELL (NOMINEES) LIMITED (orgdata.asp?p=190837),HK,1974-04-19,Ordinary shares, ,2010-12-31,2010-12-31
00086,Netquity Financial Data Limited (orgdata.asp?p=709083),HK,1996-07-25,Ordinary shares, ,2010-12-31,2010-12-31
00086,OAKFAME INVESTMENT LIMITED (orgdata.asp?p=430817),HK,1990-06-08,Ordinary shares, ,2010-12-31,2010-12-31
00086,Omicron International Limited (orgdata.asp?p=1849182),VG,,Ordinary shares, ,2010-12-31,2010-12-31
00086,Onspeed Investments Limited (orgdata.asp?p=1849119),VG,,Ordinary shares, ,2010-12-31,2010-12-31
00086,PLENTIWIND LIMITED (orgdata.asp?p=228459),HK,1979-12-04,Ordinary shares, ,2010-12-31,2010-12-31
00086,QUICK ART LIMITED (orgdata.asp?p=236958),HK,1980-07-22,Ordinary shares, ,2010-12-31,2010-12-31
00086,REAL ESTATE INVESTMENTS (N.T.) LIMITED (orgdata.asp?p=172493),HK,1970-01-16,Ordinary shares, ,2010-12-31,2010-12-31
00086,SCIENTER INVESTMENTS LIMITED (orgdata.asp?p=192349),HK,1974-07-30,Ordinary shares, ,2010-12-31,2010-12-31
00086,Shipshape Investments Limited (orgdata.asp?p=2076229),VG,,Ordinary shares, ,2018-06-28,2018-06-28
00086,SHK Absolute Return Managers Ltd (orgdata.asp?p=1849120),KY,,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHK Alternative Managers Limited (orgdata.asp?p=1849121),KY,,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHK ARBITRAGE OPPORTUNITIES LIMITED (orgdata.asp?p=195383),HK,1975-05-02,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHK CAPITAL MANAGEMENT LTD (orgdata.asp?p=1849122),KY,,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHK Dynamic Managers Ltd. (orgdata.asp?p=1849123),KY,,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHK FINANCE LIMITED (HK) (orgdata.asp?p=429270),HK,1990-05-11,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHK FUND MANAGEMENT LIMITED (orgdata.asp?p=39582),HK,1989-01-20,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHK Global Managers Limited (orgdata.asp?p=1849124),VG,,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHK INVESTMENT SERVICES LIMITED (orgdata.asp?p=167778),HK,1967-07-27,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHK ONLINE (SECURITIES) LIMITED (orgdata.asp?p=56697),HK,1975-12-23,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHK PEARL RIVER DELTA INVESTMENT COMPANY LIMITED (orgdata.asp?p=453480),HK,1991-03-19,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHK Private Equity Managers Ltd. (orgdata.asp?p=1849125),KY,,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHK Quant Managers Ltd (orgdata.asp?p=1849126),KY,,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHUN LOONG FOREX COMPANY LIMITED (orgdata.asp?p=50676),HK,1973-07-06,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHUN LOONG FUTURES LIMITED (orgdata.asp?p=49393),HK,1977-08-16,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHUN LOONG HOLDINGS LIMITED (orgdata.asp?p=16754),HK,1980-08-01,Ordinary shares, ,2010-12-31,2010-12-31
00086,SHUN LOONG SECURITIES COMPANY LIMITED (orgdata.asp?p=49394),HK,1995-05-04,Ordinary shares, ,2010-12-31,2010-12-31
00086,SILVER YORK DEVELOPMENT LIMITED (orgdata.asp?p=416326),HK,1989-10-24,Ordinary shares, ,2010-12-31,2010-12-31
00086,Sing Hing Investment Limited (VG) (orgdata.asp?p=1849163),VG,,Ordinary shares, ,2010-12-31,2010-12-31
00086,SPLENDID GAIN LIMITED (orgdata.asp?p=242997),HK,1980-12-12,Ordinary shares, ,2010-12-31,2010-12-31
00086,START HOLD LIMITED (orgdata.asp?p=391459),HK,1989-01-24,Ordinary shares, ,2010-12-31,2010-12-31
00086,SUN HING BULLION COMPANY LIMITED (orgdata.asp?p=541853),HK,1992-11-24,Ordinary shares, ,2010-12-31,2010-12-31
00086,SUN HUNG KAI (NOMINEES) LIMITED (orgdata.asp?p=62946),HK,1972-04-18,Ordinary shares, ,2010-12-31,2010-12-31
00086,SUN HUNG KAI BULLION COMPANY LIMITED (orgdata.asp?p=182464),HK,1972-09-12,Ordinary shares, ,2010-12-31,2010-12-31
00086,SUN HUNG KAI COMMODITIES LIMITED (orgdata.asp?p=55729),HK,1976-08-04,Ordinary shares, ,2010-12-31,2010-12-31
00086,Sun Hung Kai Financial Group Limited (orgdata.asp?p=6707277),VG,,Ordinary shares, ,2015-06-02,2015-06-02
00086,SUN HUNG KAI FOREX LIMITED (orgdata.asp?p=55732),HK,1994-07-21,Ordinary shares, ,2010-12-31,2010-12-31
00086,SUN HUNG KAI INSURANCE CONSULTANTS LIMITED (orgdata.asp?p=371678),HK,1988-07-05,Ordinary shares, ,2010-12-31,2010-12-31
00086,Sun Hung Kai International Bank (Brunei) Limited (orgdata.asp?p=1849164),BN,,Ordinary shares, ,2010-12-31,2010-12-31
00086,SUN HUNG KAI INTERNATIONAL COMMODITIES LIMITED (orgdata.asp?p=55730),HK,1972-03-24,Ordinary shares, ,2010-12-31,2010-12-31
00086,Sun Hung Kai International Investment Management Limited (orgdata.asp?p=1849165),VG,,Ordinary shares, ,2010-12-31,2010-12-31
00086,SUN HUNG KAI INTERNATIONAL LIMITED (orgdata.asp?p=2013),HK,1974-05-03,Ordinary shares, ,2010-12-31,2010-12-31
00086,Sun Hung Kai Investment Services (Macau) Limited (orgdata.asp?p=1849166),MO,,Ordinary shares, ,2010-12-31,2010-12-31
00086,Sun Hung Kai Securities (Bermuda) Limited (orgdata.asp?p=1849167),BM,1977-05-25,Ordinary shares, ,2010-12-31,2010-12-31
