Name,SFCLink,ROs,Reps,Total,Reps v total%,LicenseStats,Licensed
KO'S BROTHER SECURITIES COMPANY LIMITED,SFClicensees.asp?p=50906&a=0&h=Y&sort=posdn&d=2020-01-22,2,11,13,84.62,SFChistfirm.asp?p=50906&a=0,2003-07-08
LIM ADVISORS LIMITED,SFClicensees.asp?p=33304&a=0&h=Y&sort=posdn&d=2020-01-22,4,9,13,69.23,SFChistfirm.asp?p=33304&a=0,
MAN INVESTMENTS (HONG KONG) LIMITED,SFClicensees.asp?p=69760&a=0&h=Y&sort=posdn&d=2020-01-22,4,9,13,69.23,SFChistfirm.asp?p=69760&a=0,2005-07-28
NH INVESTMENT & SECURITIES (H.K.) LIMITED,SFClicensees.asp?p=84427&a=0&h=Y&sort=posdn&d=2020-01-22,4,9,13,69.23,SFChistfirm.asp?p=84427&a=0,2013-09-17
Ord Minnett Hong Kong Limited,SFClicensees.asp?p=1945327&a=0&h=Y&sort=posdn&d=2020-01-22,5,8,13,61.54,SFChistfirm.asp?p=1945327&a=0,2013-01-15
ORIENT SECURITIES LIMITED,SFClicensees.asp?p=16865&a=0&h=Y&sort=posdn&d=2020-01-22,4,9,13,69.23,SFChistfirm.asp?p=16865&a=0,2019-04-12
PUREHEART CAPITAL ASIA LIMITED,SFClicensees.asp?p=77757&a=0&h=Y&sort=posdn&d=2020-01-22,3,10,13,76.92,SFChistfirm.asp?p=77757&a=0,2007-03-08
RaffAello Capital Limited,SFClicensees.asp?p=1819300&a=0&h=Y&sort=posdn&d=2020-01-22,3,10,13,76.92,SFChistfirm.asp?p=1819300&a=0,2012-07-05
Rockhampton Management Limited,SFClicensees.asp?p=131607&a=0&h=Y&sort=posdn&d=2020-01-22,3,10,13,76.92,SFChistfirm.asp?p=131607&a=0,2011-01-26
Safe Gold Securities and Futures Limited,SFClicensees.asp?p=2643872&a=0&h=Y&sort=posdn&d=2020-01-22,5,8,13,61.54,SFChistfirm.asp?p=2643872&a=0,2017-07-31
SHACOM FUTURES LIMITED,SFClicensees.asp?p=78176&a=0&h=Y&sort=posdn&d=2020-01-22,3,10,13,76.92,SFChistfirm.asp?p=78176&a=0,
SHANXI SECURITIES INTERNATIONAL CAPITAL LIMITED,SFClicensees.asp?p=2626430&a=0&h=Y&sort=posdn&d=2020-01-22,3,10,13,76.92,SFChistfirm.asp?p=2626430&a=0,2017-01-25
SINOMAX SECURITIES LIMITED,SFClicensees.asp?p=51059&a=0&h=Y&sort=posdn&d=2020-01-22,4,9,13,69.23,SFChistfirm.asp?p=51059&a=0,2016-08-19
SOUTH CHINA CAPITAL LIMITED,SFClicensees.asp?p=926&a=0&h=Y&sort=posdn&d=2020-01-22,4,9,13,69.23,SFChistfirm.asp?p=926&a=0,
Superactive Financial Group Company Limited,SFClicensees.asp?p=1755709&a=0&h=Y&sort=posdn&d=2020-01-22,5,8,13,61.54,SFChistfirm.asp?p=1755709&a=0,2015-06-12
Tor Investment Management (Hong Kong) Limited,SFClicensees.asp?p=1947220&a=0&h=Y&sort=posdn&d=2020-01-22,3,10,13,76.92,SFChistfirm.asp?p=1947220&a=0,2012-12-12
Trends Asset Management Limited,SFClicensees.asp?p=22364201&a=0&h=Y&sort=posdn&d=2020-01-22,3,10,13,76.92,SFChistfirm.asp?p=22364201&a=0,2019-06-24
WARD FERRY MANAGEMENT LIMITED,SFClicensees.asp?p=77351&a=0&h=Y&sort=posdn&d=2020-01-22,5,8,13,61.54,SFChistfirm.asp?p=77351&a=0,
WINLAND WEALTH MANAGEMENT LIMITED,SFClicensees.asp?p=51140&a=0&h=Y&sort=posdn&d=2020-01-22,4,9,13,69.23,SFChistfirm.asp?p=51140&a=0,2017-09-05
YEW TREE LIMITED,SFClicensees.asp?p=2585290&a=0&h=Y&sort=posdn&d=2020-01-22,5,8,13,61.54,SFChistfirm.asp?p=2585290&a=0,2018-09-28
9F Primasia Securities Limited,SFClicensees.asp?p=66398&a=0&h=Y&sort=posdn&d=2020-01-22,5,7,12,58.33,SFChistfirm.asp?p=66398&a=0,2010-12-17
Asia Alternatives Advisor Hong Kong Limited,SFClicensees.asp?p=131852&a=0&h=Y&sort=posdn&d=2020-01-22,2,10,12,83.33,SFChistfirm.asp?p=131852&a=0,2011-03-15
ASIAN CAPITAL LIMITED,SFClicensees.asp?p=1865477&a=0&h=Y&sort=posdn&d=2020-01-22,4,8,12,66.67,SFChistfirm.asp?p=1865477&a=0,2017-11-02
ASPEN HILL PARTNERS (HONG KONG) LIMITED,SFClicensees.asp?p=77959&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=77959&a=0,2008-08-08
ASSURED ASSET MANAGEMENT LIMITED (HK),SFClicensees.asp?p=39710&a=0&h=Y&sort=posdn&d=2020-01-22,4,8,12,66.67,SFChistfirm.asp?p=39710&a=0,2019-11-13
BLUE POOL CAPITAL LIMITED,SFClicensees.asp?p=131666&a=0&h=Y&sort=posdn&d=2020-01-22,2,10,12,83.33,SFChistfirm.asp?p=131666&a=0,2009-11-17
CACHET ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=2256296&a=0&h=Y&sort=posdn&d=2020-01-22,5,7,12,58.33,SFChistfirm.asp?p=2256296&a=0,2015-01-13
CHINA SKY SECURITIES LIMITED,SFClicensees.asp?p=28673&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=28673&a=0,2018-05-15
CHRISTFUND SECURITIES LIMITED,SFClicensees.asp?p=10836&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=10836&a=0,
CIF Global Markets (HK) Limited,SFClicensees.asp?p=6707453&a=0&h=Y&sort=posdn&d=2020-01-22,4,8,12,66.67,SFChistfirm.asp?p=6707453&a=0,2017-09-15
Complus Asset Management Limited,SFClicensees.asp?p=131904&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=131904&a=0,2011-05-25
CQS (HONG KONG) LIMITED,SFClicensees.asp?p=58365&a=0&h=Y&sort=posdn&d=2020-01-22,5,7,12,58.33,SFChistfirm.asp?p=58365&a=0,2005-04-11
Credit Agricole Securities (Asia) Limited,SFClicensees.asp?p=1769&a=0&h=Y&sort=posdn&d=2020-01-22,4,8,12,66.67,SFChistfirm.asp?p=1769&a=0,
Eastmoney International Securities Limited,SFClicensees.asp?p=59556&a=0&h=Y&sort=posdn&d=2020-01-22,4,8,12,66.67,SFChistfirm.asp?p=59556&a=0,2009-12-09
EQT Partners Asia Limited,SFClicensees.asp?p=31979&a=0&h=Y&sort=posdn&d=2020-01-22,5,7,12,58.33,SFChistfirm.asp?p=31979&a=0,2011-04-15
FAIRWIN BROKING LIMITED,SFClicensees.asp?p=50809&a=0&h=Y&sort=posdn&d=2020-01-22,4,8,12,66.67,SFChistfirm.asp?p=50809&a=0,2017-10-06
FIRST SHANGHAI CAPITAL LIMITED,SFClicensees.asp?p=15125&a=0&h=Y&sort=posdn&d=2020-01-22,4,8,12,66.67,SFChistfirm.asp?p=15125&a=0,
GOLDHORSE CAPITAL MANAGEMENT (HK) LIMITED,SFClicensees.asp?p=2278091&a=0&h=Y&sort=posdn&d=2020-01-22,4,8,12,66.67,SFChistfirm.asp?p=2278091&a=0,2015-01-05
Greater Bay Area Development Fund Management Limited,SFClicensees.asp?p=12948657&a=0&h=Y&sort=posdn&d=2020-01-22,4,8,12,66.67,SFChistfirm.asp?p=12948657&a=0,2019-04-15
GUODU SECURITIES (HONG KONG) LIMITED,SFClicensees.asp?p=50838&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=50838&a=0,2009-03-20
Hao Tian Asset Management Limited,SFClicensees.asp?p=2562745&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=2562745&a=0,2016-12-09
Hillhouse Capital Management Limited,SFClicensees.asp?p=131851&a=0&h=Y&sort=posdn&d=2020-01-22,2,10,12,83.33,SFChistfirm.asp?p=131851&a=0,2011-01-24
HING WONG SECURITIES LIMITED,SFClicensees.asp?p=14561&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=14561&a=0,
"Holly Su Futures (Hongkong) Co., Limited",SFClicensees.asp?p=1918759&a=0&h=Y&sort=posdn&d=2020-01-22,5,7,12,58.33,SFChistfirm.asp?p=1918759&a=0,2012-06-29
JS CRESVALE SECURITIES INTERNATIONAL LIMITED,SFClicensees.asp?p=18966&a=0&h=Y&sort=posdn&d=2020-01-22,4,8,12,66.67,SFChistfirm.asp?p=18966&a=0,2010-09-29
Kadensa Capital Limited,SFClicensees.asp?p=2555301&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=2555301&a=0,2016-09-02
KARL-THOMSON COMMODITIES COMPANY LIMITED,SFClicensees.asp?p=76923&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=76923&a=0,
KEE CHEONG SECURITIES COMPANY LIMITED,SFClicensees.asp?p=50896&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=50896&a=0,
LEI SHING HONG SECURITIES LIMITED,SFClicensees.asp?p=44933&a=0&h=Y&sort=posdn&d=2020-01-22,2,10,12,83.33,SFChistfirm.asp?p=44933&a=0,
Mighty Divine Investment Management Limited,SFClicensees.asp?p=2152012&a=0&h=Y&sort=posdn&d=2020-01-22,4,8,12,66.67,SFChistfirm.asp?p=2152012&a=0,2014-04-11
Nomura Asset Management Hong Kong Limited,SFClicensees.asp?p=72124&a=0&h=Y&sort=posdn&d=2020-01-22,4,8,12,66.67,SFChistfirm.asp?p=72124&a=0,2013-05-20
PRINCIPAL ASSET MANAGEMENT COMPANY (ASIA) LIMITED,SFClicensees.asp?p=71302&a=0&h=Y&sort=posdn&d=2020-01-22,5,7,12,58.33,SFChistfirm.asp?p=71302&a=0,
RRJ Management (HK) Limited,SFClicensees.asp?p=1706527&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=1706527&a=0,2013-05-31
SAMSUNG SECURITIES (ASIA) LIMITED,SFClicensees.asp?p=51051&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=51051&a=0,
SINO GRADE SECURITIES LIMITED,SFClicensees.asp?p=37226&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=37226&a=0,
South China Forex Limited,SFClicensees.asp?p=68035&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=68035&a=0,2010-06-21
Summer Capital Management Company Limited,SFClicensees.asp?p=2439763&a=0&h=Y&sort=posdn&d=2020-01-22,5,7,12,58.33,SFChistfirm.asp?p=2439763&a=0,2017-01-16
TELLIGENT CAPITAL MANAGEMENT LIMITED,SFClicensees.asp?p=70114&a=0&h=Y&sort=posdn&d=2020-01-22,5,7,12,58.33,SFChistfirm.asp?p=70114&a=0,2006-03-24
TOKAI TOKYO SECURITIES (ASIA) LIMITED,SFClicensees.asp?p=51104&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=51104&a=0,
Towers Watson Investment Services Hong Kong Limited,SFClicensees.asp?p=70110&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=70110&a=0,2007-05-14
YONG RONG (HK) ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=1894850&a=0&h=Y&sort=posdn&d=2020-01-22,5,7,12,58.33,SFChistfirm.asp?p=1894850&a=0,2013-05-03
"ZHESHANG INTERNATIONAL FINANCIAL HOLDINGS CO., LIMITED",SFClicensees.asp?p=2410470&a=0&h=Y&sort=posdn&d=2020-01-22,5,7,12,58.33,SFChistfirm.asp?p=2410470&a=0,2016-03-09
ZHONGTAI INTERNATIONAL FINANCIAL PRODUCTS LIMITED,SFClicensees.asp?p=2353000&a=0&h=Y&sort=posdn&d=2020-01-22,3,9,12,75.00,SFChistfirm.asp?p=2353000&a=0,2016-11-07
ABN AMRO Clearing Hong Kong Limited,SFClicensees.asp?p=50815&a=0&h=Y&sort=posdn&d=2020-01-22,6,5,11,45.45,SFChistfirm.asp?p=50815&a=0,
AIA Investment Management HK Limited,SFClicensees.asp?p=15967657&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=15967657&a=0,2018-11-14
Aletheia Analyst Network Limited,SFClicensees.asp?p=88612&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=88612&a=0,2008-06-03
ALLY BRIDGE GROUP (HK) LIMITED,SFClicensees.asp?p=2100015&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=2100015&a=0,2015-07-09
American Century Investment Management (Asia Pacific) Limited,SFClicensees.asp?p=68438&a=0&h=Y&sort=posdn&d=2020-01-22,2,9,11,81.82,SFChistfirm.asp?p=68438&a=0,2010-03-26
"ANGLO CHINESE CORPORATE FINANCE, LIMITED (HK)",SFClicensees.asp?p=5639&a=0&h=Y&sort=posdn&d=2020-01-22,7,4,11,36.36,SFChistfirm.asp?p=5639&a=0,
ARGYLE STREET MANAGEMENT LIMITED,SFClicensees.asp?p=22984&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=22984&a=0,
ASA SECURITIES LIMITED,SFClicensees.asp?p=68312&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=68312&a=0,2010-08-19
Axis Capital Management Limited,SFClicensees.asp?p=70377&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=70377&a=0,
BaoQiao Partners Capital Limited,SFClicensees.asp?p=47059&a=0&h=Y&sort=posdn&d=2020-01-22,7,4,11,36.36,SFChistfirm.asp?p=47059&a=0,2008-03-05
BMI Securities Limited,SFClicensees.asp?p=70372&a=0&h=Y&sort=posdn&d=2020-01-22,2,9,11,81.82,SFChistfirm.asp?p=70372&a=0,2011-03-14
BOA MS Capital Limited,SFClicensees.asp?p=2600555&a=0&h=Y&sort=posdn&d=2020-01-22,5,6,11,54.55,SFChistfirm.asp?p=2600555&a=0,2017-03-13
BOKHARY SECURITIES LIMITED,SFClicensees.asp?p=14387&a=0&h=Y&sort=posdn&d=2020-01-22,2,9,11,81.82,SFChistfirm.asp?p=14387&a=0,
BUSINESS SECURITIES LIMITED,SFClicensees.asp?p=22037&a=0&h=Y&sort=posdn&d=2020-01-22,2,9,11,81.82,SFChistfirm.asp?p=22037&a=0,2019-05-09
"Caitong International Asset Management Co., Limited",SFClicensees.asp?p=2036702&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=2036702&a=0,2013-05-20
"CAITONG INTERNATIONAL CAPITAL CO., LIMITED",SFClicensees.asp?p=2620772&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=2620772&a=0,2018-12-06
CATHAY SECURITIES (HONG KONG) LIMITED,SFClicensees.asp?p=50854&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=50854&a=0,2007-11-27
CCB Securities Limited,SFClicensees.asp?p=50762&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=50762&a=0,2016-06-20
CENTRAL WEALTH FUTURES LIMITED,SFClicensees.asp?p=2444902&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=2444902&a=0,2016-02-25
CHINA INTERNATIONAL FUTURES (HONG KONG) COMPANY LIMITED,SFClicensees.asp?p=71778&a=0&h=Y&sort=posdn&d=2020-01-22,2,9,11,81.82,SFChistfirm.asp?p=71778&a=0,2005-09-21
CTBC Asia Limited,SFClicensees.asp?p=50781&a=0&h=Y&sort=posdn&d=2020-01-22,6,5,11,45.45,SFChistfirm.asp?p=50781&a=0,2004-01-14
CVP Securities Limited,SFClicensees.asp?p=50804&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=50804&a=0,2004-07-09
D. E. Shaw & Co. (Asia Pacific) Limited,SFClicensees.asp?p=131594&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=131594&a=0,2007-11-14
DAH SING SECURITIES LIMITED,SFClicensees.asp?p=23377&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=23377&a=0,
Dongxing Securities (Hong Kong) Asset Management Company Limited,SFClicensees.asp?p=2600628&a=0&h=Y&sort=posdn&d=2020-01-22,5,6,11,54.55,SFChistfirm.asp?p=2600628&a=0,2017-02-08
DONVEX CAPITAL LIMITED,SFClicensees.asp?p=50546&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=50546&a=0,2009-01-29
EAST ASIA FUTURES LIMITED,SFClicensees.asp?p=70006&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=70006&a=0,
Ever-Long Futures Limited,SFClicensees.asp?p=2649942&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=2649942&a=0,2017-06-29
First Capital International Finance Limited,SFClicensees.asp?p=2539213&a=0&h=Y&sort=posdn&d=2020-01-22,5,6,11,54.55,SFChistfirm.asp?p=2539213&a=0,2016-10-25
GAM HONG KONG LIMITED,SFClicensees.asp?p=70245&a=0&h=Y&sort=posdn&d=2020-01-22,6,5,11,45.45,SFChistfirm.asp?p=70245&a=0,
Gary Cheng Securities Limited,SFClicensees.asp?p=2440428&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=2440428&a=0,2015-12-02
GT Asset & Portfolio Management Limited,SFClicensees.asp?p=88628&a=0&h=Y&sort=posdn&d=2020-01-22,2,9,11,81.82,SFChistfirm.asp?p=88628&a=0,2004-11-04
GUODU FUTURES (HONG KONG) LIMITED,SFClicensees.asp?p=1484074&a=0&h=Y&sort=posdn&d=2020-01-22,2,9,11,81.82,SFChistfirm.asp?p=1484074&a=0,2012-12-04
HALCYON CAPITAL LIMITED (HK),SFClicensees.asp?p=1933817&a=0&h=Y&sort=posdn&d=2020-01-22,5,6,11,54.55,SFChistfirm.asp?p=1933817&a=0,2012-12-06
HALCYON SECURITIES LIMITED,SFClicensees.asp?p=1949865&a=0&h=Y&sort=posdn&d=2020-01-22,5,6,11,54.55,SFChistfirm.asp?p=1949865&a=0,2013-01-28
Hang Tang International Capital Management Limited,SFClicensees.asp?p=2484705&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=2484705&a=0,2016-05-23
HERMES SECURITIES LIMITED,SFClicensees.asp?p=39801&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=39801&a=0,
HING LEE SECURITIES LIMITED,SFClicensees.asp?p=50845&a=0&h=Y&sort=posdn&d=2020-01-22,2,9,11,81.82,SFChistfirm.asp?p=50845&a=0,
HONESTUM INTERNATIONAL LIMITED,SFClicensees.asp?p=17799662&a=0&h=Y&sort=posdn&d=2020-01-22,6,5,11,45.45,SFChistfirm.asp?p=17799662&a=0,2019-01-11
Horizon Asset International (HK) Limited,SFClicensees.asp?p=90703&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=90703&a=0,2008-09-03
HUA NAN SECURITIES (HK) LIMITED,SFClicensees.asp?p=50863&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=50863&a=0,2017-11-10
HUAJIN FUTURES (INTERNATIONAL) LIMITED,SFClicensees.asp?p=2394685&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=2394685&a=0,2015-08-17
Huayu Securities Limited,SFClicensees.asp?p=33293&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=33293&a=0,2019-09-11
JINRUI FUTURES (HONG KONG) LIMITED,SFClicensees.asp?p=68446&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=68446&a=0,2007-07-27
JK Capital Management Limited,SFClicensees.asp?p=46072&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=46072&a=0,2015-12-01
LAZARD ASSET MANAGEMENT (HONG KONG) LIMITED,SFClicensees.asp?p=131775&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=131775&a=0,2008-11-20
Lead Securities (HK) Limited,SFClicensees.asp?p=2585997&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=2585997&a=0,2017-02-14
Mackenzie Investments Asia Limited,SFClicensees.asp?p=92193&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=92193&a=0,2019-12-17
ONE Asset Management (HK) Company Limited,SFClicensees.asp?p=11779147&a=0&h=Y&sort=posdn&d=2020-01-22,5,6,11,54.55,SFChistfirm.asp?p=11779147&a=0,2018-02-22
Opus Capital Limited (HK),SFClicensees.asp?p=2191911&a=0&h=Y&sort=posdn&d=2020-01-22,6,5,11,45.45,SFChistfirm.asp?p=2191911&a=0,2014-08-18
Pleiad Investment Advisors Limited,SFClicensees.asp?p=2233181&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=2233181&a=0,2014-06-13
Premia Partners Company Limited,SFClicensees.asp?p=2621674&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=2621674&a=0,2017-03-09
RAYS Capital Partners Limited,SFClicensees.asp?p=68520&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=68520&a=0,2011-05-19
ROCKPOOL CAPITAL LIMITED,SFClicensees.asp?p=2128985&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=2128985&a=0,2018-07-09
SANFULL FUTURES LIMITED,SFClicensees.asp?p=51719&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=51719&a=0,2007-12-21
SEEKERS ADVISORS H.K. LIMITED,SFClicensees.asp?p=1007599&a=0&h=Y&sort=posdn&d=2020-01-22,5,6,11,54.55,SFChistfirm.asp?p=1007599&a=0,2012-03-23
SENSIBLE ASSET MANAGEMENT HONG KONG LIMITED,SFClicensees.asp?p=97672&a=0&h=Y&sort=posdn&d=2020-01-22,5,6,11,54.55,SFChistfirm.asp?p=97672&a=0,2008-11-07
SHUN LOONG SECURITIES COMPANY LIMITED,SFClicensees.asp?p=49394&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=49394&a=0,
SILVERHORN INVESTMENT ADVISORS LIMITED,SFClicensees.asp?p=131663&a=0&h=Y&sort=posdn&d=2020-01-22,2,9,11,81.82,SFChistfirm.asp?p=131663&a=0,2011-02-28
Snow Lake Capital (HK) Limited,SFClicensees.asp?p=131985&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=131985&a=0,2011-07-21
SORRENTO SECURITIES LIMITED,SFClicensees.asp?p=2515858&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=2515858&a=0,2016-07-13
TC Capital International Limited,SFClicensees.asp?p=60583&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=60583&a=0,2010-08-11
TOYO SECURITIES ASIA LIMITED,SFClicensees.asp?p=51108&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=51108&a=0,
TRIVEST ADVISORS LIMITED,SFClicensees.asp?p=131850&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=131850&a=0,2010-04-08
XIN HUA SECURITIES (HONG KONG) LIMITED,SFClicensees.asp?p=2552777&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=2552777&a=0,2016-10-18
YING WAH SECURITIES COMPANY LIMITED,SFClicensees.asp?p=51151&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=51151&a=0,
York Capital Management Asia (HK) Advisors Limited,SFClicensees.asp?p=81399&a=0&h=Y&sort=posdn&d=2020-01-22,3,8,11,72.73,SFChistfirm.asp?p=81399&a=0,2007-10-31
"YUANTA FUTURES (HK) CO., LIMITED",SFClicensees.asp?p=1681820&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=1681820&a=0,2012-02-24
YUE XIU ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=98412&a=0&h=Y&sort=posdn&d=2020-01-22,4,7,11,63.64,SFChistfirm.asp?p=98412&a=0,2011-04-12
A.M. BEST ASIA-PACIFIC LIMITED,SFClicensees.asp?p=131752&a=0&h=Y&sort=posdn&d=2020-01-22,3,7,10,70.00,SFChistfirm.asp?p=131752&a=0,2011-06-01
ADVENT CORPORATE FINANCE LIMITED (GBEN),SFClicensees.asp?p=3436124&a=0&h=Y&sort=posdn&d=2020-01-22,2,8,10,80.00,SFChistfirm.asp?p=3436124&a=0,2018-10-18
ALBOURNE PARTNERS (ASIA) LIMITED,SFClicensees.asp?p=65926&a=0&h=Y&sort=posdn&d=2020-01-22,2,8,10,80.00,SFChistfirm.asp?p=65926&a=0,2004-09-07
ALPS ADVISORY (HK) LIMITED,SFClicensees.asp?p=131651&a=0&h=Y&sort=posdn&d=2020-01-22,3,7,10,70.00,SFChistfirm.asp?p=131651&a=0,2013-11-20
ARISTO SECURITIES LIMITED,SFClicensees.asp?p=2198195&a=0&h=Y&sort=posdn&d=2020-01-22,2,8,10,80.00,SFChistfirm.asp?p=2198195&a=0,2014-08-06
Atta Capital Limited,SFClicensees.asp?p=2538939&a=0&h=Y&sort=posdn&d=2020-01-22,4,6,10,60.00,SFChistfirm.asp?p=2538939&a=0,2016-10-11
Averest Capital Limited,SFClicensees.asp?p=51081&a=0&h=Y&sort=posdn&d=2020-01-22,5,5,10,50.00,SFChistfirm.asp?p=51081&a=0,2018-10-03
BANDS Financial Limited,SFClicensees.asp?p=2436783&a=0&h=Y&sort=posdn&d=2020-01-22,5,5,10,50.00,SFChistfirm.asp?p=2436783&a=0,2015-10-13
Bradbury Securities Limited,SFClicensees.asp?p=14555&a=0&h=Y&sort=posdn&d=2020-01-22,3,7,10,70.00,SFChistfirm.asp?p=14555&a=0,
BULLISH SECURITIES LIMITED,SFClicensees.asp?p=50707&a=0&h=Y&sort=posdn&d=2020-01-22,2,8,10,80.00,SFChistfirm.asp?p=50707&a=0,
Capital Company Hong Kong Limited (The),SFClicensees.asp?p=2294389&a=0&h=Y&sort=posdn&d=2020-01-22,4,6,10,60.00,SFChistfirm.asp?p=2294389&a=0,2016-12-15
Capstone Financial (HK) Limited,SFClicensees.asp?p=131813&a=0&h=Y&sort=posdn&d=2020-01-22,3,7,10,70.00,SFChistfirm.asp?p=131813&a=0,2010-03-12
CENTRAL CHINA INTERNATIONAL CAPITAL LIMITED,SFClicensees.asp?p=14713&a=0&h=Y&sort=posdn&d=2020-01-22,3,7,10,70.00,SFChistfirm.asp?p=14713&a=0,
